"HM_STUDY_ID","PROTOCOL_ID","PFIZER_PROTOCOL_ID","DEVELOPMENT_PHASE","STUDY_STATUS_CURRENT","STUDY_THERAPEUTIC_AREA","STUDY_TYPE","YN_STUDY_CLOSED","CCS_CLINICAL_PLACEMENT","TOT_SUBJ_ENTERED_STUDY","EARLIEST_FSFV_FROM_SUBJECTS","EARLIEST_FSFV_FROM_SITES","EARLIEST_FSFV_FROM_MILESTONES","LATEST_LSLV_FROM_SITES","PLANNED_LSLV","ACTUAL_LSLV","ACTIVE_PATIENT_COUNT","YN_EXCLUDED","EXCLUDED_REASON","YN_VISUALIZE","ETL_COMMENTS","YN_PD_EXCLUDED","PD_EXCLUDED_REASON","YN_SAE_EXCLUDED","SAE_EXCLUDED_REASON","YN_RT_EXCLUDED","RT_EXCLUDED_REASON","YN_TL_EXCLUDED","TL_EXCLUDED_REASON"
27183,"C0591001","C0591001","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - PLANNED",17,2016-09-16,2016-09-09,NA,2018-12-26,NA,NA,18,"N",NA,"N","V_RATIO:.058823529412; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26974,"A3921261","A3921261","PHASE I","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","NEW HAVEN CRU - CONFIRMED",24,NA,2017-09-11,2017-09-11,2017-11-15,2018-03-20,2018-03-20,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
24639,"B4711001","B4711001","PHASE I","TERMINATED","OPHTHALMOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",2,2015-06-15,2015-06-15,2015-06-15,2019-07-19,2020-05-26,2019-07-19,2,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27493,"AV001","B1871053","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,536,NA,2014-07-22,NA,NA,2014-07-22,2014-07-22,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27344,"ZIN-130-1504","C1221002","PHASE II","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,25,NA,2015-12-21,NA,2017-10-05,NA,NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
99105,"C2541005","C2541005","PHASE I","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","PFIZER CRU AND EXTERNAL - CONFIRMED",48,2018-06-21,2018-06-21,NA,2019-04-04,2019-09-05,2019-09-05,48,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27580,"C0541001","C0541001","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,31,2017-11-01,2017-11-01,NA,NA,2017-11-01,2017-11-01,26,"N",NA,"Y","V_RATIO:.161290322581; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27496,"B7931004","B7931004","PHASE II","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",212,2016-12-01,2016-12-01,NA,2018-03-19,2018-08-28,2018-08-28,213,"N",NA,"N","V_RATIO:.004716981132; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27497,"B7931005","B7931005","PHASE IIA","COMPLETED","DERMATOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",142,2016-12-15,2016-12-15,NA,2019-05-15,2019-06-10,2019-06-10,142,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27504,"C1171006","C1171006","PHASE I","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","PFIZER CRU AND EXTERNAL - CONFIRMED",24,2017-12-19,2017-12-19,NA,2018-07-18,2019-04-04,2019-05-21,24,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27506,"C2501001","C2501001","PHASE I","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",109,2017-07-14,2017-07-14,NA,2019-01-25,2019-07-02,2019-07-02,109,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27599,"B7981007","B7981007","PHASE IIA","ONGOING","IMMUNOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",84,1984-06-18,2018-02-02,NA,NA,2019-06-24,2019-06-24,86,"N",NA,"Y","V_RATIO:.02380952381; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
24675,"A5481008","A5481008","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,666,2013-02-22,2013-02-22,2013-02-22,NA,2016-08-11,2017-11-08,667,"N",NA,"Y","V_RATIO:.001501501502; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27271,"C1091002","C1091002","PHASE II","ONGOING","VACCINES","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",66,2019-01-14,2019-01-14,NA,NA,NA,NA,192,"N",NA,"Y","V_RATIO:1.909090909091; SD00:Subject data control check passed. Active Patient Count > Subject Entered Study Count","N",NA,"N",NA,"N",NA,"N",NA
27298,"C0801017","C0801017","PHASE III","COMPLETED","PAIN","INTERVENTIONAL","Y",NA,63,2016-07-20,2016-07-20,NA,2017-05-24,NA,NA,63,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27994,"D4910C00009","C3601001","PHASE II","COMPLETED","INFECTIOUS DISEASES","INTERVENTIONAL","Y",NA,36,NA,2016-05-19,NA,2017-10-26,2018-10-24,2019-03-12,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
28010,"C0371005","C0371005","PHASE IIA","ONGOING","HEMATOLOGY","INTERVENTIONAL","N",NA,15,NA,2015-11-18,NA,NA,2015-11-18,2015-11-18,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27096,"B7451006","B7451006","PHASE II","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",269,2016-04-15,2016-04-15,2016-04-15,2017-04-04,2017-09-25,2017-09-25,270,"N",NA,"N","V_RATIO:.003717472119; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
24533,"B1931022","B1931022","PHASE III","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,326,2012-08-02,2012-08-02,2012-08-02,2017-01-04,2017-10-12,2017-10-12,326,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27602,"B7451008","B7451008","PHASE I","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",6,2017-07-10,2017-07-10,NA,2017-09-15,2018-05-09,2018-05-09,6,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26933,"FRAG-A001-201","A6301094","PHASE II","COMPLETED","CARDIOVASCULAR","INTERVENTIONAL","Y",NA,38,2017-01-22,2009-08-20,2009-08-20,2018-03-20,2018-10-09,2018-10-31,15,"N",NA,"N","V_RATIO:.605263157895; SD02:Subject data control check failed.","N",NA,"N",NA,"N",NA,"N",NA
27710,"TAV-ONYC-401","C3371003","PHASE IV","COMPLETED","DERMATOLOGY","INTERVENTIONAL","Y",NA,55,NA,2015-10-22,NA,2017-07-27,2017-12-31,2017-12-31,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27655,"C3291002","C3291002","PHASE IV","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y",NA,137,2018-01-16,2018-01-16,NA,2019-04-12,2019-09-11,2019-09-11,137,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27778,"C1221005","C1221005","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",422,2017-10-27,2017-10-27,NA,2018-07-25,2019-03-19,2019-08-06,422,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
20726,"3082B2-4434","B1831006","PHASE IV","COMPLETED","HEMATOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",24,2010-02-10,2010-02-10,2010-02-10,2016-11-24,2017-04-28,2017-05-02,24,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
21085,"A5991093","A5991093","PHASE IV","COMPLETED","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",564,2011-02-09,2011-02-09,2011-02-09,2018-11-30,2019-08-24,2019-09-29,571,"N",NA,"N","V_RATIO:.012411347518; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26694,"B1371016","B1371016","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",24,2018-11-05,2018-11-05,2018-11-05,2019-04-11,2019-09-03,2019-09-03,24,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26695,"B1371017","B1371017","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",18,2018-05-21,2018-05-17,2018-05-17,2018-09-19,2019-02-26,2019-02-26,18,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26698,"A5481053","A5481053","PHASE III","COMPLETED","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",131,2016-04-15,2016-04-15,2016-04-15,2019-05-28,2019-10-24,2019-10-24,133,"N",NA,"N","V_RATIO:.015267175573; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25328,"A6531002","A6531002","PHASE IV","ONGOING","RESPIRATORY","INTERVENTIONAL","N",NA,111,2016-02-25,2016-02-25,2016-02-25,NA,2016-02-25,2016-02-25,123,"N",NA,"N","V_RATIO:.108108108108; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25504,"B1871039","B1871039","PHASE IV","ONGOING","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",163,2014-11-07,2014-11-07,2014-11-07,NA,2015-11-10,2015-11-10,161,"N",NA,"Y","V_RATIO:.01226993865; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25808,"B5161004","B5161004","PHASE II","TERMINATED","GENETIC DISEASES","INTERVENTIONAL","Y","EXTERNAL - PLANNED",59,2016-10-13,2016-10-13,2016-10-13,2018-11-22,2019-05-15,2019-05-15,59,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26181,"B7601006","B7601006","PHASE I","COMPLETED","NEUROSCIENCE (NEUROLOGY)","INTERVENTIONAL","Y","BRUSSELS CRU - CONFIRMED",11,2017-04-07,2017-04-07,2017-04-07,2017-09-14,2018-01-25,2018-05-08,11,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25384,"A5481010","A5481010","PHASE II","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,61,2012-10-19,2012-10-19,2012-10-19,2018-10-25,2019-04-01,2019-04-01,66,"N",NA,"N","V_RATIO:.081967213115; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25388,"B5201002","B5201002","PHASE III","COMPLETED","HEMATOLOGY","INTERVENTIONAL","N",NA,345,2015-06-17,2015-06-17,2015-06-17,2019-06-27,2019-07-15,2019-07-15,345,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25389,"B5201003","B5201003","PHASE III","ONGOING","HEMATOLOGY","INTERVENTIONAL","N",NA,153,2015-12-16,2015-12-16,2015-12-16,NA,2017-03-30,2017-03-30,154,"N",NA,"Y","V_RATIO:.006535947712; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25518,"B5201004","B5201004","PHASE I","COMPLETED","HEMATOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",16,2017-01-26,2017-01-26,2017-01-26,2017-03-16,2017-10-02,2017-10-02,16,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25539,"A4091056","A4091056","PHASE III","COMPLETED","PAIN","INTERVENTIONAL","Y",NA,698,2016-01-21,2016-01-21,2016-01-21,2018-05-14,2018-11-12,2019-08-05,699,"N",NA,"N","V_RATIO:.001432664756; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25540,"A4091057","A4091057","PHASE III","COMPLETED","PAIN","INTERVENTIONAL","Y",NA,849,2016-03-02,2016-03-02,2016-03-02,2018-11-14,2019-05-13,2019-06-27,850,"N",NA,"N","V_RATIO:.001177856302; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26362,"A5481037","A5481037","PHASE IV","COMPLETED","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",251,2016-03-09,2016-03-09,2016-03-09,2019-07-25,2019-08-27,2019-08-27,252,"N",NA,"N","V_RATIO:.003984063745; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26514,"B7561002","B7561002","PHASE I","TERMINATED","METABOLIC DISEASE","INTERVENTIONAL","Y","BRUSSELS CRU - CONFIRMED",65,NA,2016-05-23,2016-05-23,2017-05-23,2018-04-04,2018-04-04,65,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25449,"A7471050","A7471050","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,452,NA,NA,2013-05-09,NA,2017-02-17,2017-02-17,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
25751,"A5481023","A5481023","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,521,2013-09-26,2013-09-26,2013-09-26,NA,2014-05-26,2014-05-26,535,"N",NA,"Y","V_RATIO:.026871401152; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25761,"B7471002","B7471002","PHASE II","COMPLETED","VACCINES","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",444,2017-10-10,2017-10-10,2017-10-10,2018-12-10,2019-08-29,2019-08-29,444,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
17392,"A6181109","A6181109","PHASE III","COMPLETED","ONCOLOGY","INTERVENTIONAL","N",NA,674,2007-08-01,2007-08-01,2007-08-01,2017-09-07,2018-01-10,2018-06-14,674,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
16582,"A0081096","A0081096","PHASE IV","ONGOING","NEUROSCIENCE (NEUROLOGY)","INTERVENTIONAL","N",NA,183,2006-07-26,2006-07-26,2006-07-26,NA,2013-06-28,2013-06-28,188,"N",NA,"Y","V_RATIO:.027322404372; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
16660,"A0081106","A0081106","PHASE III","COMPLETED","NEUROSCIENCE (NEUROLOGY)","INTERVENTIONAL","N",NA,605,2012-02-29,2012-02-21,2012-02-21,2019-08-22,2019-09-20,2019-09-20,606,"N",NA,"N","V_RATIO:.001652892562; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
21686,"A3921120","A3921120","PHASE III","ONGOING","INFLAMMATION","INTERVENTIONAL","N",NA,270,2018-06-07,2018-06-07,2018-06-07,NA,2018-10-12,2018-10-12,270,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
21755,"A6181196","A6181196","PHASE II","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,6,2012-06-25,2012-06-25,2012-06-25,2017-08-21,2017-12-13,2017-12-13,6,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
21802,"B1371003","B1371003","PHASE II","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",255,2012-06-27,2012-06-27,2012-06-27,2019-03-04,2019-03-04,2019-07-25,262,"N",NA,"N","V_RATIO:.027450980392; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
21829,"A3921133","A3921133","PHASE IV","ONGOING","INFLAMMATION","INTERVENTIONAL","N",NA,4414,2014-03-14,2014-03-14,2014-03-14,NA,2015-11-09,2015-11-09,4378,"N",NA,"Y","V_RATIO:.008155867694; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
22163,"B1971033","B1971033","PHASE III","COMPLETED","VACCINES","INTERVENTIONAL","Y",NA,698,2012-09-07,2012-09-07,2012-09-07,2018-01-05,2018-11-14,2018-11-14,698,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
21114,"B1801023","B1801023","PHASE III","ONGOING","INFLAMMATION","INTERVENTIONAL","N",NA,109,2011-10-10,2011-10-10,2011-10-10,NA,2012-02-08,2012-02-08,109,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
21134,"3066K1-4438","B1771007","PHASE IV","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,101,2011-03-02,2011-03-10,2011-03-10,2018-06-28,2018-10-08,2018-10-08,102,"N",NA,"N","V_RATIO:.009900990099; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
22047,"B1521017","B1521017","PHASE III","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y",NA,625,2014-01-10,2014-01-10,2014-01-10,2017-08-03,2018-01-22,2018-01-22,632,"N",NA,"N","V_RATIO:.0112; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
22050,"A4061068","A4061068","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,53,2014-02-26,2014-02-26,2014-02-26,NA,2016-03-15,2016-03-15,53,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
22196,"B1521021","B1521021","PHASE III","ONGOING","CARDIOVASCULAR","INTERVENTIONAL","N",NA,8275,2013-11-13,2013-11-13,2013-11-13,NA,2015-02-27,2015-02-27,8335,"N",NA,"Y","V_RATIO:.007250755287; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27437,"B7991006","B7991006","PHASE I","COMPLETED","NEUROSCIENCE (NEUROLOGY)","INTERVENTIONAL","Y","NEW HAVEN CRU - CONFIRMED",12,NA,2016-09-06,NA,2016-11-15,2017-04-06,2017-04-06,12,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
20161,"B1641001","B1641001","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",190,2006-09-14,2011-06-21,2011-06-21,2019-02-20,2019-07-08,2019-09-13,189,"N",NA,"N","V_RATIO:.005263157895; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
20189,"A3921092","A3921092","PHASE III","COMPLETED","INFLAMMATION","INTERVENTIONAL","N",NA,873,2014-02-17,2014-02-17,2014-02-17,2019-05-20,2019-07-25,2019-07-25,869,"N",NA,"N","V_RATIO:.004581901489; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
20232,"A3921104","A3921104","PHASE III","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y",NA,223,2016-06-10,2016-06-10,2016-06-10,2019-05-16,2019-10-02,2019-10-02,174,"N",NA,"N","V_RATIO:.219730941704; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
20257,"A8081013","A8081013","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",44,2011-03-22,2011-03-22,2011-03-22,NA,2012-08-01,2012-08-01,44,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
20258,"A8081014","A8081014","PHASE III","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",343,2011-01-13,2011-01-13,2011-01-13,2016-11-30,2017-08-16,2017-11-09,343,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
19595,"A4061051","A4061051","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,492,2009-02-22,2009-08-25,2009-08-25,NA,2009-08-25,2009-08-25,492,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27932,"B9991023","B9991023","PHASE II","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,22,2017-12-21,2017-12-21,NA,NA,2018-12-05,2018-12-05,38,"N",NA,"Y","V_RATIO:.727272727273; SD02:Subject data control check failed.","N",NA,"N",NA,"N",NA,"N",NA
27934,"C3441021","C3441021","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,90,2017-12-18,2017-12-18,NA,NA,2017-12-18,2017-12-18,162,"N",NA,"Y","V_RATIO:.8; SD02:Subject data control check failed.","N",NA,"N",NA,"N",NA,"N",NA
27200,"C1061001","C1061001","PHASE I","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","NEW HAVEN CRU - CONFIRMED",16,2016-10-19,2016-10-19,NA,2017-01-12,NA,NA,16,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27202,"C1061003","C1061003","PHASE II","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",53,2017-09-27,2017-09-27,NA,2018-04-27,NA,NA,53,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27138,"MENACWY-TT-102","MENACWY-TT-102","PHASE III","COMPLETED","VACCINES","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",184,NA,2013-07-16,2013-07-16,2017-11-08,2013-07-16,2013-07-16,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27139,"MENACWY-TT-099","MENACWY-TT-099","PHASE III","COMPLETED","VACCINES","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",311,NA,2014-04-29,2014-04-29,2018-08-10,2014-04-29,2014-04-29,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27140,"MENACWY-TT-104","MENACWY-TT-104","PHASE III","ONGOING","VACCINES","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",803,NA,2013-10-02,2013-10-02,NA,2013-10-02,2013-10-02,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27141,"MENACWY-TT-100","MENACWY-TT-100","PHASE III","COMPLETED","VACCINES","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",243,NA,2013-10-09,2013-10-09,2018-06-11,2013-10-09,2013-10-09,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27142,"MENACWY-TT-101","MENACWY-TT-101","PHASE III","COMPLETED","VACCINES","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",229,NA,2017-08-01,NA,2018-04-11,NA,NA,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27205,"C1061005","C1061005","N/A (NOT APPLICABLE)","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","NEW HAVEN CRU - CONFIRMED",12,NA,2016-09-29,NA,2017-01-23,NA,NA,12,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
28014,"D4280C00015","C3591004","PHASE II","COMPLETED","INFECTIOUS DISEASES","INTERVENTIONAL","Y",NA,83,NA,2015-08-01,NA,2017-06-01,2018-01-11,2018-07-12,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
28015,"D4280C00016","C3591005","PHASE II","COMPLETED","INFECTIOUS DISEASES","INTERVENTIONAL","Y",NA,97,NA,2015-09-24,NA,2017-09-15,2018-05-01,2018-05-29,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
99071,"C3561001","C3561001","PHASE I","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",18,2018-04-24,2018-04-24,NA,2019-03-20,2019-07-31,2019-07-31,18,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
28018,"C3601002","C3601002","PHASE III","ONGOING","INFECTIOUS DISEASES","INTERVENTIONAL","N",NA,7,2018-04-05,2018-04-05,NA,NA,2018-04-05,2018-04-05,7,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
99229,"C3691002","C3691002","PHASE IV","COMPLETED","DERMATOLOGY","INTERVENTIONAL","Y",NA,22,NA,2017-11-28,NA,2018-02-02,2018-04-12,2018-04-12,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27441,"B7461017","B7461017","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",6,2017-07-05,2017-07-05,NA,2017-08-25,2018-04-30,2018-04-30,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
99074,"D3720C00009","C2661002","PHASE II","TERMINATED","INFECTIOUS DISEASES","INTERVENTIONAL","Y",NA,11,NA,2015-08-04,NA,2017-12-26,2018-07-06,2018-07-06,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
99582,"C3711002","C3711002","PHASE I","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","BRUSSELS CRU - CONFIRMED",16,2018-04-19,2018-04-19,NA,2018-08-29,2019-01-03,2019-01-03,16,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
99527,"B9991033","B9991033","PHASE II","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,19,2018-08-15,2018-08-15,NA,NA,2019-02-12,2019-02-12,22,"N",NA,"Y","V_RATIO:.157894736842; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
99370,"C3441030","C3441030","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,15,2017-11-30,2017-11-30,NA,NA,2019-08-16,2019-08-16,15,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
99601,"B1871057","B1871057","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","BRUSSELS CRU - CONFIRMED",8,2018-11-22,2018-11-22,NA,2019-01-14,2019-07-23,2019-07-23,8,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
99606,"B7471006","B7471006","PHASE III","ONGOING","VACCINES","INTERVENTIONAL","N",NA,875,2019-02-12,2019-02-12,NA,NA,2019-04-29,2019-04-29,875,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
99608,"B8441001","B8441001","PHASE I","COMPLETED","INFECTIOUS DISEASES","INTERVENTIONAL","Y",NA,8,2018-08-20,2018-08-20,NA,2018-10-02,2019-03-19,2019-03-19,8,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
